Model,PMID,Runs,Count_variance,Count_min,Count_max,Pct_majority_count,Pct_unstable_count,Pct_under,Pct_exact,Pct_over,Variant_found_consistent,Pct_variant_found_yes,Pct_variant_found_no,Just_sem_mean,Just_sem_median,Just_sem_min,Just_sem_prop_ge_0_8,Just_sem_prop_ge_0_9,Reason_sem_mean,Reason_sem_median,Reason_sem_min,Reason_sem_prop_ge_0_8,Reason_sem_prop_ge_0_9,Semantic_mean_consolidated,Semantic_median_consolidated,Semantic_min_consolidated,Stability_index,Semantic_prop_ge_0_8_consolidated,Semantic_prop_ge_0_9_consolidated
Claude Sonnet 4,12818575,10,0,1,1,1,0,,,,TRUE,1,0,0.8791367411613464,0.879153848,0.7566904425621033,0.9111111111111111,0.37777777777777777,0.7994657158851624,0.8079339265823364,0.5711530447006226,0.5777777777777777,0.13333333333333333,0.8313341259956359,0.8364218950271607,0.5711530447006226,0.9196506142616272,0.7444444444444445,0.25555555555555554
Claude Sonnet 4,18446368,10,26.01,1,18,0.9,0.1,,,,TRUE,1,0,0.9246475100517273,0.9286280870437622,0.8692493438720703,1,0.7555555555555555,0.8262883424758911,0.8507257103919983,0.6511263847351074,0.6444444444444445,0.2,0.8656320095062255,0.8818866610527039,0.6511263847351074,0.9077339631319046,0.8222222222222222,0.47777777777777775
Claude Sonnet 4,19564454,10,0,1,1,1,0,,,,TRUE,1,0,0.9306551814079285,0.9318658113479614,0.8859298825263977,1,0.8888888888888888,0.8719789981842041,0.8814188838005066,0.7253473997116089,0.9111111111111111,0.3333333333333333,0.8954494714736938,0.9015976548194886,0.7253473997116089,0.9506585448980331,0.9555555555555555,0.611111111
Claude Sonnet 4,23399560,10,0,1,1,1,0,,,,TRUE,1,0,0.8645680546760559,0.8516590595245361,0.7842087745666504,0.9111111111111111,0.26666666666666666,0.8174141645431519,0.8143250346183777,0.692796528,0.5777777777777777,0.13333333333333333,0.8362757205963134,0.829258645,0.692796528,0.9204955548048019,0.7444444444444445,0.2
Claude Sonnet 4,23631430,10,0,1,1,1,0,,,,TRUE,1,0,0.9198316931724548,0.9279064536094666,0.8572661280632019,1,0.8,0.8811583518981934,0.9070318937301636,0.7360308766365051,0.8222222222222222,0.5777777777777777,0.896627688,0.9153817176818848,0.7360308766365051,0.950247511,0.9111111111111111,0.6888888888888889
Claude Sonnet 4,24433488,10,0,1,1,1,0,,,,TRUE,1,0,0.884592593,0.8908804059028625,0.7986674904823303,0.9777777777777777,0.28888888888888886,0.8671644330024719,0.8742854595184326,0.75751555,0.8666666666666667,0.2,0.874135697,0.8809234380722046,0.75751555,0.9379392564296722,0.9222222222222223,0.24444444444444444
Claude Sonnet 4,28960912,10,0,1,1,1,0,,,,TRUE,1,0,0.9357747435569763,0.937779427,0.8764887452125549,1,0.9333333333333333,0.8486994504928589,0.8570863604545593,0.6743599772453308,0.8222222222222222,0.24444444444444444,0.8835295677185059,0.8893635869026184,0.6743599772453308,0.9461185485124588,0.9111111111111111,0.5888888888888889
Claude Sonnet 4,30293990,10,0,1,1,1,0,,,,TRUE,1,0,0.9136064052581787,0.9175567626953125,0.8029497265815735,1,0.6666666666666666,0.8621519207954407,0.8883676528930664,0.7491297125816345,0.7333333333333333,0.4444444444444444,0.882733715,0.9000432968139649,0.7491297125816345,0.9439395815134048,0.8666666666666667,0.5555555555555556
Claude Sonnet 4,30997073,10,0,1,1,1,0,,,,TRUE,1,0,0.9215763807296753,0.9253760576248169,0.8662607669830322,1,0.8222222222222222,0.8199970722198486,0.8114030957221985,0.6703762412071228,0.5777777777777777,0.088888889,0.8606287956237793,0.8569922804832459,0.6703762412071228,0.935393363,0.7888888888888889,0.45555555555555555
Claude Sonnet 4,32400968,10,0,1,1,1,0,,,,TRUE,1,0,0.898902953,0.9048649072647095,0.8254569172859192,1,0.5333333333333333,0.8694355487823486,0.8753015398979187,0.7824394702911377,0.8666666666666667,0.3111111111111111,0.8812225103378295,0.8871268868446349,0.7824394702911377,0.9420846253633499,0.9333333333333333,0.4222222222222222
Claude Sonnet 4,35151254,10,0,1,1,1,0,,,,TRUE,1,0,0.9037938714027405,0.9057747721672058,0.8084782361984253,1,0.6222222222222222,0.8820599317550659,0.9030080437660217,0.7731931209564209,0.8666666666666667,0.5333333333333333,0.8907535076141357,0.9041147351264953,0.7731931209564209,0.9464634507894516,0.9333333333333333,0.5777777777777777
o4-mini,12818575,10,0,1,1,1,0,,,,TRUE,1,0,0.8166509866714478,0.8211896419525146,0.7026843428611755,0.6888888888888889,0.022222222222222223,0.7910953760147095,0.8158841729164124,0.61819458,0.5333333333333333,0.022222222222222223,0.8013176202774048,0.8180063605308533,0.61819458,0.9019365906715393,0.6111111111111112,0.022222222222222223
o4-mini,18446368,10,0,1,1,1,0,,,,TRUE,1,0,0.7989586591720581,0.8149763345718384,0.5627163052558899,0.5777777777777777,0.022222222222222223,0.851177454,0.8550036549568176,0.7583693265914917,0.9333333333333333,0.044444444444444446,0.8302899360656738,0.8389927268028259,0.5627163052558899,0.9125340282917023,0.7555555555555555,0.033333333
o4-mini,19564454,10,0,1,1,1,0,,,,TRUE,1,0,0.8356727361679077,0.8341860771179199,0.7248263955116272,0.8,0.066666667,0.8133422136306763,0.8410851359367371,0.6594533324241638,0.5777777777777777,0.044444444444444446,0.8222744226455689,0.8383255124092102,0.6594533324241638,0.912253737,0.6888888888888889,0.055555556
o4-mini,23399560,10,0,1,1,1,0,,,,TRUE,1,0,0.7930499315261841,0.8066906929016113,0.5492768883705139,0.5777777777777777,0.13333333333333333,0.8456360101699829,0.8497444987297058,0.7567365169525146,0.8,0.1111111111111111,0.8246015787124633,0.8325229763984681,0.5492768883705139,0.9096714854240417,0.6888888888888889,0.12222222222222222
o4-mini,23631430,10,0.09,0,1,0.9,0.1,,,,FALSE,0.9,0.1,0.8222594261169434,0.8166780471801758,0.6383323073387146,0.6,0.17777777777777778,0.8493513464927673,0.8533669114112854,0.7655967473983765,0.8,0.15555555555555556,0.8385145783424377,0.8386913657188415,0.6383323073387146,0.6879026931524277,0.7,0.16666666666666669
o4-mini,24433488,10,0,1,1,1,0,,,,TRUE,1,0,0.857100785,0.8616343140602112,0.7913677096366882,0.9333333333333333,0.066666667,0.8497244715690613,0.8527787923812866,0.7388423681259155,0.8222222222222222,0.15555555555555556,0.8526749968528747,0.8563210010528565,0.7388423681259155,0.9267063140869141,0.8777777777777778,0.1111111111111111
o4-mini,28960912,10,9,1,11,0.9,0.1,,,,TRUE,1,0,0.8184950351715088,0.8002707362174988,0.6640255451202393,0.5111111111111111,0.15555555555555556,0.8924024105072021,0.8994171619415283,0.7953664660453796,0.9777777777777777,0.4666666666666667,0.8628394603729248,0.8597585916519165,0.6640255451202393,0.8977243614196777,0.7444444444444445,0.3111111111111111
o4-mini,30293990,10,0,1,1,1,0,,,,TRUE,1,0,0.88013041,0.8928804397583008,0.7492853999137878,0.8888888888888888,0.4666666666666667,0.8685715794563293,0.8832600712776184,0.7462774515151978,0.8666666666666667,0.3333333333333333,0.8731951117515564,0.8871082186698913,0.7462774515151978,0.9371754974126816,0.8777777777777778,0.4
o4-mini,30997073,10,0,1,1,1,0,,,,TRUE,1,0,0.8325085043907166,0.8517084717750549,0.6071510314941406,0.7555555555555555,0.044444444444444446,0.8273624181747437,0.842968225,0.7129084467887878,0.6222222222222222,0.15555555555555556,0.8294208526611329,0.8464643239974976,0.6071510314941406,0.914967731,0.6888888888888889,0.1
o4-mini,32400968,10,0,1,1,1,0,,,,TRUE,1,0,0.8941554427146912,0.896830678,0.8298486471176147,1,0.4222222222222222,0.8909264206886292,0.9074435234069824,0.7965929508209229,0.9555555555555556,0.5555555555555556,0.892218029,0.9031983852386475,0.7965929508209229,0.9462704658508301,0.9777777777777779,0.48888888888888893
o4-mini,35151254,10,0,1,1,1,0,,,,TRUE,1,0,0.8441667556762695,0.850968063,0.7451028227806091,0.7777777777777778,0.1111111111111111,0.845888078,0.8441087603569031,0.741213322,0.8222222222222222,0.13333333333333333,0.8451995491981505,0.8468524813652039,0.741213322,0.9225137084722519,0.8,0.12222222222222222
